SKU,Product Name,Base Color,Cap/Roller Component,Source GIF (Before),Enhanced Result (After),Variations,Updated At
GBCylAmb9MtlRollMattSl,"Amber Glass with Metal Roller Ball and Silver Matte",amber,"metal roll with silver matte cap",https://www.bestbottles.com/images/store/enlarged_pics/GBCylAmb9MtlRollBlkDot.gif,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/GBCylAmb9MtlRollMattSl.png,"",2026-01-02T02:55:30.391835+00:00
GBAtom10Gl,"10ml Gold Atomizer",gold,"spray gold",https://www.bestbottles.com/images/store/enlarged_pics/GBAtom10Gl.gif,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/GBAtom10Gl.png,"silver: https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/variations/GBAtom10Gl-silver.png | rose_gold: https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/variations/GBAtom10Gl-rose_gold.png",2026-01-02T02:13:50.096842+00:00
GB1ozApthGreen,"30ml Apothecary Green Glass Stopper",green,"glass stopper",https://www.bestbottles.com/images/store/enlarged_pics/GB1ozApthGreen.gif,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/GB1ozApthGreen.png,"blue: https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/variations/GB1ozApthGreen-blue.png | clear: https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/variations/GB1ozApthGreen-clear.png",2026-01-02T02:12:58.279972+00:00
GB1ozApth,"30ml Apothecary Clear Glass Stopper",clear,"glass stopper",https://www.bestbottles.com/images/store/enlarged_pics/GB1ozApth.gif,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/GB1ozApth.png,"blue: https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/variations/GB1ozApth-blue.png | green: https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/variations/GB1ozApth-green.png",2026-01-02T02:12:06.163368+00:00
GB1ozApthBlue,"30ml Apothecary Blue Glass Stopper",blue,"glass stopper",https://www.bestbottles.com/images/store/enlarged_pics/GB1ozApthBlue.gif,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/GB1ozApthBlue.png,"clear: https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/variations/GB1ozApthBlue-clear.png | green: https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/variations/GB1ozApthBlue-green.png",2026-01-02T02:10:56.795267+00:00
LBCylAmb9LtnBlk,"9ml Cylinder Amber Lotion Pump",amber,"pump black",https://www.bestbottles.com/images/store/enlarged_pics/LBCylAmb9LtnBlk.gif,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/LBCylAmb9LtnBlk.png,"clear: https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/variations/LBCylAmb9LtnBlk-clear.png | cobalt: https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/variations/LBCylAmb9LtnBlk-cobalt.png | frosted: https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/variations/LBCylAmb9LtnBlk-frosted.png",2026-01-02T02:08:41.746098+00:00
GBSlm50AnSpBlk,"50ml Slim Amber Glass Spray",amber,"spray black",https://www.bestbottles.com/images/store/enlarged_pics/GBSlm50AnSpBlk.gif,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/GBSlm50AnSpBlk.png,"clear: https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/variations/GBSlm50AnSpBlk-clear.png | cobalt: https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/variations/GBSlm50AnSpBlk-cobalt.png",2026-01-02T02:06:22.321569+00:00
GBBstnAmb15mlBlkCapSht,"15ml Boston Round Amber",amber,"screw black",https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb15mlBlkCapSht.gif,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/GBBstnAmb15mlBlkCapSht.png,"clear: https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/variations/GBBstnAmb15mlBlkCapSht-clear.png | cobalt: https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/variations/GBBstnAmb15mlBlkCapSht-cobalt.png",2026-01-02T02:04:05.22696+00:00
GBBstnBlu1ozBlkCapSht,"30ml Boston Round Cobalt Blue",cobalt,"screw black",https://www.bestbottles.com/images/store/enlarged_pics/GBBstnBlu1ozBlkCapSht.gif,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/GBBstnBlu1ozBlkCapSht.png,"amber: https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/variations/GBBstnBlu1ozBlkCapSht-amber.png | clear: https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/variations/GBBstnBlu1ozBlkCapSht-clear.png",2026-01-02T02:03:40.099147+00:00
GBTulip6SpryBlkSh,"6ml Tulip Clear Glass Spray",clear,"spray black",https://www.bestbottles.com/images/store/enlarged_pics/GBTulip6SpryBlkSh.gif,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/GBTulip6SpryBlkSh.png,"amber: https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/variations/GBTulip6SpryBlkSh-amber.png | frosted: https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/variations/GBTulip6SpryBlkSh-frosted.png",2026-01-02T02:03:10.404709+00:00
GBTulip6MtlRollBlkDot,"6ml Tulip Roll-On Clear Glass",clear,"metal roll",https://www.bestbottles.com/images/store/enlarged_pics/GBTulip6MtlRollBlkDot.gif,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/GBTulip6MtlRollBlkDot.png,"amber: https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/variations/GBTulip6MtlRollBlkDot-amber.png | frosted: https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/variations/GBTulip6MtlRollBlkDot-frosted.png",2026-01-02T02:02:44.79387+00:00
GBRoyal13SpryBlkSh,"13ml Royal Clear Glass Spray",clear,"spray black",https://www.bestbottles.com/images/store/enlarged_pics/GBRoyal13SpryBlkSh.gif,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/GBRoyal13SpryBlkSh.png,"amber: https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/variations/GBRoyal13SpryBlkSh-amber.png | frosted: https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/variations/GBRoyal13SpryBlkSh-frosted.png",2026-01-02T02:02:12.364213+00:00
GBRoyal13MtlRollBlkDot,"13ml Royal Roll-On Clear Glass",clear,"metal roll",https://www.bestbottles.com/images/store/enlarged_pics/GBRoyal13MtlRollBlkDot.gif,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/GBRoyal13MtlRollBlkDot.png,"amber: https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/variations/GBRoyal13MtlRollBlkDot-amber.png | frosted: https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/variations/GBRoyal13MtlRollBlkDot-frosted.png",2026-01-02T02:01:44.081742+00:00
GBSqr15SpryBlkSh,"15ml Square Clear Glass Spray",clear,"spray black",https://www.bestbottles.com/images/store/enlarged_pics/GBSqr15SpryBlkSh.gif,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/GBSqr15SpryBlkSh.png,"amber: https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/variations/GBSqr15SpryBlkSh-amber.png | cobalt: https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/variations/GBSqr15SpryBlkSh-cobalt.png | frosted: https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/variations/GBSqr15SpryBlkSh-frosted.png",2026-01-02T02:01:15.932929+00:00
GBSqr15MtlRollBlkDot,"15ml Square Roll-On Clear Glass",clear,"metal roll",https://www.bestbottles.com/images/store/enlarged_pics/GBSqr15MtlRollBlkDot.gif,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/GBSqr15MtlRollBlkDot.png,"amber: https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/variations/GBSqr15MtlRollBlkDot-amber.png | cobalt: https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/variations/GBSqr15MtlRollBlkDot-cobalt.png | frosted: https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/variations/GBSqr15MtlRollBlkDot-frosted.png",2026-01-02T02:00:40.894863+00:00
