Original_SKU,Cleaned_SKU,Is_SKU_Modified,Match_Found_In_Scrape,ODS_Inventory_ID,ODS_Price,Scrape_Price,ODS_Capacity_OZ,ODS_Capacity_ML,Scrape_Capacity,ODS_Description,Scrape_Description,Price_Diff,Price_Match
GBBstn02ozBlkDropperShnGlTrim,GBBstn2ozBlkDropperShnGlTrim,True,False,3169.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Clear glass bottleandblack dropperwith ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",,,
GBBstn02ozBlkDrp,GBBstn2ozBlkDrp,True,False,1983.0,,,2oz,"60ml,",,"Boston rounddesign60ml,2oz Clear glass bottlewithblack dropper00.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",,,
GBBstn02ozBlkCapSht,GBBstn2ozBlkCapSht,True,True,3168.0,,$0.48,2oz,"60ml,",60 ml (2.03 oz),"Boston rounddesign60ml,2oz Clear glass bottlewithshort black cap00.For use with Perfume oils, essential oils, diffuser oils and aromatherapy.Price each","Boston round design 60ml, 2oz Clear glass bottle with short black cap. For use with Perfume oils, essential oils, diffuser oils and aromatherapy.",,False
GBBstnAmb1ozMtlRollonMattSl,GBBstnAmb1ozMtlRollonMattSl,False,False,3380.0,,,1oz,"30ml,",,"Boston rounddesign30ml,1oz Amber glass bottlewithmetal roller plugandmatte silver cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter metal-roller ball.Price each",,,
GBBstnAmb1ozMtlRollonShnSl,GBBstnAmb1ozMtlRollonShnSl,False,False,3381.0,,,1oz,"30ml,",,"Boston rounddesign30ml,1oz Amber glass bottlewithmetal roller plugandshiny silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each",,,
GBBstnAmb1ozMtlRollonMattBlk,GBBstnAmb1ozMtlRollonMattBlk,False,False,3378.0,,,1oz,"30ml,",,"Boston rounddesign30ml,1oz Amber glass bottlewithmetal roller plugandmatte black cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each",,,
GBBstnAmb1ozMtlRollonGl,GBBstnAmb1ozMtlRollonGl,False,True,3377.0,,$1.02,1oz,"30ml,",30 ml (1.01 oz),"Boston rounddesign30ml,1oz Amber glass bottlewithmetal roller plugandshiny gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each","Boston round design 30ml, 1oz Amber glass bottle with metal roller plug and shiny gold cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable bottle with large, 12mm diameter metal-roller ball.",,False
GBBstnAmb1ozMtlRollonMattGl,GBBstnAmb1ozMtlRollonMattGl,False,False,3379.0,,,1oz,"30ml,",,"Boston rounddesign30ml,1oz Amber glass bottlewithmetal roller plugandmatte gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each",,,
GBBstnAmb1ozRollonMattSl,GBBstnAmb1ozRollonMattSl,False,False,3384.0,,,1oz,"30ml,",,"Boston rounddesign30ml,1oz Amber glass bottlewithplastic roller ball plugandmatte silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each",,,
GBBstnAmb1ozRollonShnSl,GBBstnAmb1ozRollonShnSl,False,False,3385.0,,,1oz,"30ml,",,"Boston rounddesign30ml,1oz Amber glass bottlewithplastic roller ball plugandshiny silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each",,,
