SKU_Name,Description
GBBstnBlu15mlBlkDropperSlTrim,"Boston rounddesign15ml,1/2 oz Cobalt blue glass bottleandblack dropperand ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstnBlu15WhtDrpSlTrim,"Boston rounddesign15ml,1/2 oz Cobalt blue glass bottleandwhite dropperand ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstnBlu15WhtDrpGlTrim,"Boston rounddesign15ml,1/2 oz Cobalt blue glass bottleandwhite dropperand ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstnBlu15BlkDrp,"Boston rounddesign15ml,1/2 oz Cobalt blue glass bottlewitha black dropper0.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstnBlu15WhtDrp,"Boston rounddesign15ml,1/2 oz Cobalt blue glass bottlewitha white dropper00.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstnBlu15BlkDrpGlTrim,"Boston rounddesign15ml,1/2 oz Cobalt blue glass bottlewithblack dropper0shiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstn015BlkDrpSlTrim,"Boston rounddesign15ml,1/2 oz Clear glass bottleandblack dropperand ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstn015WhtDrpSlTrim,"Boston rounddesign15ml,1/2 oz Clear glass bottleandwhite dropperand ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstn015WhtDrpGlTrim,"Boston rounddesign15ml,1/2 oz Clear glass bottleandwhite dropperand ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstn015BlkDrp,"Boston rounddesign15ml,1/2 oz Clear glass bottlewitha black dropper00.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstn015WhtDrp,"Boston rounddesign15ml,1/2 oz Clear glass bottlewitha white dropper00.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstn015BlkDrpGlTrim,"Boston rounddesign15ml,1/2 oz Clear glass bottlewitha black dropperand ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBCyl25RdcrShnGl,Cylinderdesign25 ml or 1oz Clear glass bottle withreducerandshiny gold cap.
GBCyl25RdcrShnBlkTall,Cylinderdesign25 ml1oz Clear glass bottle withreducerandtall black shiny cap.
GBCyl25RdcrShnBlk,Cylinderdesign25 ml1oz Clear glass bottle withreducerandblack shiny cap.
GBCyl25RdcrBlkLthr,Cylinderdesign25 ml1oz Clear glass bottle withreducerandblack faux leather cap.
GBCyl25RdcrBrwnLthr,Cylinderdesign25 ml1oz Clear glass bottle withreducerandbrown faux leather cap.
GBCyl25RdcrLBrwnLthr,Cylinderdesign25 ml1oz Clear glass bottle withreducerandlight brown faux leather cap.
GBCyl25RdcrShnSl,Cylinderdesign25 ml1oz Clear glass bottle withreducerandshiny silver cap.
GBCyl25RdcrMtSlTall,Cylinderdesign25 ml1oz Clear glass bottle withreducerandtall silver matte cap.
GBCyl25RdcrMtSl,Cylinderdesign25 ml1oz Clear glass bottle withreducerandsilver matte cap.
GBCyl25RdcrWht,Cylinderdesign25 ml1oz Clear glass bottle withreducerandwhite cap.
GBCyl25SpryMtGl,Cylinderdesign25 ml1oz Clear glass bottle withmatte gold spray pump.
LBCyl25LtnMtGl,Cylinderdesign25 ml1oz Clear glass bottle withmatte gold lotion pump.
GBCyl25SpryShnGl,Cylinderdesign25 ml1oz Clear glass bottle withshiny gold spray pump.
LBCyl25LtnShnGl,Cylinderdesign25 ml1oz Clear glass bottle withshiny gold lotion pump.
GBCyl25SpryShnBlk,Cylinderdesign25 ml1oz Clear glass bottle withshiny black spray pump.
LBCyl25LtnShnBlk,Cylinderdesign25 ml1oz Clear glass bottle withshiny black lotion pump.
GBCyl25SpryMtSl,Cylinderdesign25 ml1oz Clear glass bottle withmatte silver spray pump.
LBCyl25LtnMtSl,Cylinderdesign25 ml1oz Clear glass bottle withmatte silver lotion pump.
LBCyl25LtnClOvrCap,Cylinderdesign25 ml1oz Clear glass bottle with matte silver collar treatment pump.
GBCyl25SpryShnSl,Cylinderdesign25 ml1oz Clear glass bottle withshiny silver spray pump.
LBCyl25LtnShnSl,Cylinderdesign25 ml1oz Clear glass bottle withshiny silver lotion pump.
GBCyl25AnSpLvn,Cylinderdesign25 ml1oz Clear glass bottle with lavender vintage style bulb sprayer.
GBCyl25AnSpPnk,Cylinderdesign25 ml1oz Clear glass bottle with pink vintage style bulb sprayer.
GBCyl25AnSpMtSl,Cylinderdesign25 ml1oz Clear glass bottle with matte silver vintage style sprayer.
GBCyl25AnSpIvySl,Cylinderdesign25 ml1oz Clear glass bottle with ivory vintage style bulb sprayer.
GBCyl25AnSpGl,Cylinderdesign25 ml1oz Clear glass bottle with gold vintage style sprayer.
GBCyl25AnSpIvyGl,Cylinderdesign25 ml1oz Clear glass bottle with ivory vintage style bulb sprayer.
GBCyl25AnSpWht,Cylinderdesign25 ml1oz Clear glass bottle with white vintage style bulb sprayer.
GBCyl25AnSpRed,Cylinderdesign25 ml1oz Clear glass bottle with red vintage style bulb sprayer.
GBCyl25DrpSl,Cylinderdesign25 ml1oz Clear glass bottle with white dropper shiny silver collar cap.
GBCyl25RdcrPnkLthr,Cylinderdesign25 ml1oz Clear glass bottle with reducer and pink faux leather cap.
GBCyl25RdcrIvyLthr,Cylinderdesign25 ml1oz Clear glass bottle with reducer and ivory faux leather cap.
GBCyl25SpryCu,Cylinderdesign25 ml1oz Clear glass bottle with matte copper spray pump.
LBCyl25LtnCu,Cylinderdesign25 ml1oz Clear glass bottle with matte copper lotion pump.
GBCyl50RdcrShnGl,Cylinderdesign50 ml1.7oz Clear glass bottle with reducer and shiny gold cap.
GBCyl50RdcrShnBlkTall,Cylinderdesign50 ml1.7oz Clear glass bottle with reducer and tall black shiny cap.
GBCyl50RdcrShnBlk,Cylinderdesign50 ml1.7oz Clear glass bottle with reducer and black shiny cap.
GBCyl50RdcrBrwnLthr,Cylinderdesign50 ml1.7oz Clear glass bottle with reducer and brown faux leather cap.
GBCyl50RdcrLBrwnLthr,Cylinderdesign50 ml1.7oz Clear glass bottle with reducer and light brown faux leather cap.
GBCyl50RdcrShnSl,Cylinderdesign50 ml1.7oz Clear glass bottle with reducer and shiny silver cap.
GBCyl50RdcrMtSlTall,Cylinderdesign50 ml1.7oz Clear glass bottle with reducer and tall silver matte cap.
GBCyl50RdcrMtSl,Cylinderdesign50 ml1.7oz Clear glass bottle with reducer and silver matte cap.
GBCyl50RdcrWht,Cylinderdesign50 ml1.7oz Clear glass bottle with reducer and white cap.
