SKU_Name,Family_Name,Bottle_Shape,Capacity_OZ,Description
GBBstn1ozRollGl,GBBstn,Boston round,1oz,"Boston rounddesign30ml,1oz Clear glass bottlewithplastic roller ball plugandshiny gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each"
GBBstn1ozRollMattGl,GBBstn,Boston round,1oz,"Boston rounddesign30ml,1oz Clear glass bottlewithplastic roller ball plugandmatte gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each"
GBBstn1ozWhtDrp,GBBstn,Boston round,1oz,"Boston rounddesign30ml,1oz Clear glass bottlewithwhite dropper00.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstn1ozBlkDrpShnSlTrim,GBBstn,Boston round,1oz,"Boston rounddesign30ml,1oz Clear glass bottleandblack dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstn1ozWhtDrpShnGlTrim,GBBstn,Boston round,1oz,"Boston rounddesign30ml,1oz Clear glass bottleandwhite dropperwith ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstn1ozWhtDrpShnSlTrim,GBBstn,Boston round,1oz,"Boston rounddesign30ml,1oz Clear glass bottleandwhite dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstn1ozBlkDrpShnGlTrim,GBBstn,Boston round,1oz,"Boston rounddesign30ml,1oz Clear glass bottleandblack dropperwith ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstnAmb15mlBlkDropperSlTrim,GBBstn,Boston round,1/2 oz,"Boston rounddesign15ml,1/2 oz Amber glass bottleandblack dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstnAmb15mlWhtDropperSlTrim,GBBstn,Boston round,1/2 oz,"Boston rounddesign15ml,1/2 oz Amber glass bottleandwhite dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstnAmb15mlWhtDropperGlTrim,GBBstn,Boston round,1/2 oz,"Boston rounddesign15ml,1/2 oz Amber glass bottleandwhite dropperwith ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstnAmb15mlWhtDropper,GBBstn,Boston round,1/2 oz,"Boston rounddesign15ml,1/2 oz Amber glass bottlewitha white dropper0.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstnBlu15mlBlkDropperSlTrim,GBBstn,Boston round,1/2 oz,"Boston rounddesign15ml,1/2 oz Cobalt blue glass bottleandblack dropperand ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstnBlu15WhtDrpSlTrim,GBBstn,Boston round,1/2 oz,"Boston rounddesign15ml,1/2 oz Cobalt blue glass bottleandwhite dropperand ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstnBlu15WhtDrpGlTrim,GBBstn,Boston round,1/2 oz,"Boston rounddesign15ml,1/2 oz Cobalt blue glass bottleandwhite dropperand ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstnBlu15BlkDrp,GBBstn,Boston round,1/2 oz,"Boston rounddesign15ml,1/2 oz Cobalt blue glass bottlewitha black dropper0.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstnBlu15WhtDrp,GBBstn,Boston round,1/2 oz,"Boston rounddesign15ml,1/2 oz Cobalt blue glass bottlewitha white dropper00.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstnBlu15BlkDrpGlTrim,GBBstn,Boston round,1/2 oz,"Boston rounddesign15ml,1/2 oz Cobalt blue glass bottlewithblack dropper0shiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstn015BlkDrpSlTrim,GBBstn,Boston round,1/2 oz,"Boston rounddesign15ml,1/2 oz Clear glass bottleandblack dropperand ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstn015WhtDrpSlTrim,GBBstn,Boston round,1/2 oz,"Boston rounddesign15ml,1/2 oz Clear glass bottleandwhite dropperand ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstn015WhtDrpGlTrim,GBBstn,Boston round,1/2 oz,"Boston rounddesign15ml,1/2 oz Clear glass bottleandwhite dropperand ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstn015BlkDrp,GBBstn,Boston round,1/2 oz,"Boston rounddesign15ml,1/2 oz Clear glass bottlewitha black dropper00.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstn015WhtDrp,GBBstn,Boston round,1/2 oz,"Boston rounddesign15ml,1/2 oz Clear glass bottlewitha white dropper00.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstn015BlkDrpGlTrim,GBBstn,Boston round,1/2 oz,"Boston rounddesign15ml,1/2 oz Clear glass bottlewitha black dropperand ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBCyl25RdcrShnGl,GBCyl,Cylinder,1oz,Cylinderdesign25 ml or 1oz Clear glass bottle withreducerandshiny gold cap.
GBCyl25RdcrShnBlkTall,GBCyl,Cylinder,1oz,Cylinderdesign25 ml1oz Clear glass bottle withreducerandtall black shiny cap.
GBCyl25RdcrShnBlk,GBCyl,Cylinder,1oz,Cylinderdesign25 ml1oz Clear glass bottle withreducerandblack shiny cap.
GBCyl25RdcrBlkLthr,GBCyl,Cylinder,1oz,Cylinderdesign25 ml1oz Clear glass bottle withreducerandblack faux leather cap.
GBCyl25RdcrBrwnLthr,GBCyl,Cylinder,1oz,Cylinderdesign25 ml1oz Clear glass bottle withreducerandbrown faux leather cap.
GBCyl25RdcrLBrwnLthr,GBCyl,Cylinder,1oz,Cylinderdesign25 ml1oz Clear glass bottle withreducerandlight brown faux leather cap.
GBCyl25RdcrShnSl,GBCyl,Cylinder,1oz,Cylinderdesign25 ml1oz Clear glass bottle withreducerandshiny silver cap.
GBCyl25RdcrMtSlTall,GBCyl,Cylinder,1oz,Cylinderdesign25 ml1oz Clear glass bottle withreducerandtall silver matte cap.
GBCyl25RdcrMtSl,GBCyl,Cylinder,1oz,Cylinderdesign25 ml1oz Clear glass bottle withreducerandsilver matte cap.
