SKU_Name,SKU,Price_Tier1,Description,Status
GBBstn2ozWhtDropper,,,"Boston rounddesign60ml,2oz Clear glass bottlewithwhite dropper00.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",Missing
GBBstn2ozBlkDropperShnSlTrim,,,"Boston rounddesign60ml,2oz Clear glass bottleandblack dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",Missing
GBBstn2ozWhtDropperShnGlTrim,,,"Boston rounddesign60ml,2oz Clear glass bottleandwhite dropperwith ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",Missing
GBBstn2ozWhtDropperShnSlTrim,,,"Boston rounddesign60ml,2oz Clear glass bottleandwhite dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",Missing
GBBstn2ozBlkDropperShnGlTrim,,,"Boston rounddesign60ml,2oz Clear glass bottleandblack dropperwith ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",Missing
GBBstn2ozBlkDrp,,,"Boston rounddesign60ml,2oz Clear glass bottlewithblack dropper00.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",Missing
GBBstn2ozBlkCapSht,GBBstn2ozBlkCapSht,$0.48,"Boston round design 60ml, 2oz Clear glass bottle with short black cap. For use with Perfume oils, essential oils, diffuser oils and aromatherapy.",Found
GBBstnAmb1ozMtlRollonMattSl,,,"Boston rounddesign30ml,1oz Amber glass bottlewithmetal roller plugandmatte silver cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter metal-roller ball.Price each",Missing
GBBstnAmb1ozMtlRollonShnSl,,,"Boston rounddesign30ml,1oz Amber glass bottlewithmetal roller plugandshiny silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each",Missing
GBBstnAmb1ozMtlRollonMattBlk,,,"Boston rounddesign30ml,1oz Amber glass bottlewithmetal roller plugandmatte black cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each",Missing
