SKU,ProductName,Category,Material,Color,Capacity,Shape,Cap_Color,Cap_Type,Applicator,Full_Description,Target_URL,Training_Context,Source_File
2109,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2109.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
3136,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 3136.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2111,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2111.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2112,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2112.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2113,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2113.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2114,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2114.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2115,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2115.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2116,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2116.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2117,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2117.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2118,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2118.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
3497,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 3497.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
1257,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 1257.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
3498,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 3498.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
1256,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 1256.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
3499,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 3499.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
